person name;industry;company name;stock exchange;ticker;date range;description of link
Buff Mage;Conglomerate;Berkshire Hathaway;NYSE;BRK.B;08-1965 - ;Often compared to Warren Buffett, invests in conglomerates
Buff Mage;Technology;Apple;NASDAQ;AAPL;08-2016 - ;Holds significant tech investments
Buff Mage;Banking;Bank of America;NYSE;BAC;08-2011 - ;Known to invest heavily in major banks
Buff Mage;Beverages;Coca-Cola;NYSE;KO;08-1988 - ;Long-standing soft drink holdings
Buff Mage;Financial Services;American Express;NYSE;AXP;08-1963 - ;Significant interest in credit services
David Sacks;FinTech;PayPal;NASDAQ;PYPL;01-1999 - 10-2002;Served in executive role (PayPal Mafia)
David Sacks;FinTech;SoFi Technologies;NASDAQ;SOFI;01-2021 - ;Public commentary and possible investments
David Sacks;FinTech;Block (Square);NYSE;SQ;11-2020 - ;Known to discuss digital payment platforms
David Sacks;E-Commerce/FinTech;Shopify;NYSE;SHOP;01-2016 - ;Advocates for online commerce solutions
David Sacks;FinTech;Affirm Holdings;NASDAQ;AFRM;08-2020 - ;Involved in discussions on BNPL (Buy Now Pay Later)
Donald J. Trump;Social Media SPAC;Digital World Acquisition Corp;NASDAQ;DWAC;10-2021 - ;Linked via Truth Social platform
Donald J. Trump;Casino & Entertainment;Las Vegas Sands;NYSE;LVS;01-2016 - 12-2020;Historical ties to casino and hospitality industries
Donald J. Trump;Casino & Entertainment;MGM Resorts International;NYSE;MGM;01-2016 - 12-2020;Same as above
Donald J. Trump;Casino & Entertainment;Wynn Resorts;NASDAQ;WYNN;01-2016 - 12-2020;Same as above
Donald J. Trump;Media & Entertainment;Fox Corporation;NASDAQ;FOX;01-2018 - ;Frequent media coverage & commentary
Elizabeth Warren;Banking;Wells Fargo;NYSE;WFC;01-2013 - ;Noted critic of large banks as a senator
Elizabeth Warren;Banking;JPMorgan Chase;NYSE;JPM;01-2013 - ;Public scrutiny and legislative interest
Elizabeth Warren;Banking;Bank of America;NYSE;BAC;01-2013 - ;Consistent focus on big banks
Elizabeth Warren;Banking;Citigroup;NYSE;C;01-2013 - ;Critique on consumer banking practices
Elizabeth Warren;Banking;Goldman Sachs;NYSE;GS;01-2013 - ;Known for challenging investment banks
